time,desired_yaw,actual_yaw,w_command,v_command
1749757939.6772,0.0000,0.0000,-0.0000,0.3000
1749757939.9318,0.0000,0.0000,-0.0000,0.3000
1749757940.0469,0.0000,-0.0000,-0.0000,0.3000
1749757940.1608,0.0000,-0.0000,-0.0000,0.3000
1749757940.2773,0.0000,-0.0000,-0.0000,0.3000
1749757940.3865,0.0000,-0.0000,-0.0000,0.3000
1749757940.5207,0.0000,-0.0000,-0.0000,0.3000
1749757940.6802,0.0000,-0.0000,-0.0000,0.3000
1749757940.7956,0.0000,-0.0000,-0.0000,0.3000
1749757940.9191,0.0000,-0.0000,-0.0000,0.3000
1749757941.0546,0.0000,-0.0000,-0.0000,0.3000
1749757941.1693,0.0000,-0.0000,-0.0000,0.3000
1749757941.2866,0.0000,-0.0000,-0.0000,0.3000
1749757941.3949,0.0000,-0.0000,-0.0000,0.3000
1749757941.5073,0.0000,-0.0000,-0.0000,0.3000
1749757941.6244,0.0000,-0.0000,-0.0000,0.3000
1749757941.7347,0.0000,-0.0000,-0.0000,0.3000
1749757941.8480,0.0000,-0.0000,-0.0000,0.3000
1749757941.9581,0.0000,-0.0000,-0.0000,0.3000
1749757942.0759,0.0000,-0.0000,-0.0000,0.3000
1749757942.1942,0.0000,-0.0000,-0.0000,0.3000
1749757942.3129,0.0000,-0.0000,-0.0000,0.3000
1749757942.4326,0.0000,-0.0000,-0.0000,0.3000
1749757942.5714,0.0000,-0.0000,-0.0000,0.3000
1749757942.7170,0.0000,-0.0000,-0.0000,0.3000
1749757942.8290,0.0000,-0.0000,-0.0000,0.3000
1749757942.9427,0.0000,-0.0000,-0.0000,0.3000
1749757943.0552,0.0000,-0.0000,-0.0000,0.3000
1749757943.1700,0.0000,-0.0000,-0.0000,0.3000
1749757943.2837,0.0000,-0.0000,-0.0000,0.3000
1749757943.3952,0.0000,-0.0000,-0.0000,0.3000
1749757943.5093,0.0000,-0.0000,-0.0000,0.3000
1749757943.6438,0.0000,-0.0000,-0.0000,0.3000
1749757943.7623,0.0000,-0.0000,-0.0000,0.3000
1749757943.9229,0.0000,-0.0000,-0.0000,0.3000
1749757944.0348,0.0000,-0.0000,-0.0000,0.3000
1749757944.1448,0.0000,-0.0000,-0.0000,0.3000
1749757944.2676,0.0000,-0.0000,-0.0000,0.3000
1749757944.4181,0.0000,-0.0000,-0.0000,0.3000
1749757944.5294,0.0000,-0.0000,-0.0000,0.3000
1749757944.6377,0.0000,-0.0000,-0.0000,0.3000
1749757944.7566,0.0000,-0.0000,-0.0000,0.3000
1749757944.8729,0.0000,-0.0000,-0.0000,0.3000
1749757944.9931,0.0000,-0.0000,-0.0000,0.3000
1749757945.1062,0.0000,-0.0000,-0.0000,0.3000
1749757945.2225,0.0000,-0.0000,-0.0000,0.3000
1749757945.3450,0.0000,-0.0000,-0.0000,0.3000
1749757945.4525,0.0000,-0.0000,-0.0000,0.3000
1749757945.5652,0.0000,-0.0000,-0.0000,0.3000
1749757945.6838,0.0000,-0.0000,-0.0000,0.3000
1749757945.8041,0.0000,-0.0000,-0.0000,0.3000
1749757945.9222,0.0000,-0.0000,-0.0000,0.3000
1749757946.0323,0.0000,-0.0000,-0.0000,0.3000
1749757946.1498,0.0000,-0.0000,-0.0000,0.3000
1749757946.3116,0.0000,-0.0000,-0.0000,0.3000
